"","catchment_no","criteria","mean_nrmse","mean_r2","mean_nse","mean_kge","n_windows","sd_windows","mean_delta1","mean_sigma1","sd_delta1","sd_sigma1","mean_delta2","mean_sigma2","sd_delta2","sd_sigma2","median_mod_kge","median_mod_delta1","median_mod_sigma1","median_mod_delta2","median_mod_sigma2","longitude","latitude","region"
"46",1030,best_bic,1.28018355302918,0.179644491208168,0.179644491208168,0.326316962430467,2,0,0.158621264346163,4.48240071063938,0.227007300482604,4.94817792566265,0.0299080698531442,5.85659439256794,0.0606047221641846,6.56512498362173,0.236229545933506,0.0164563294257357,0.108634426077496,3.47451905842736e-07,12.8211972191766,-114.570953369,50.948928833,n.a.
"47",1030,best_rmse,1.22290386583739,0.191013391965865,0.191013391965865,0.356120906540203,2,0,0.0944958530847724,8.16390144666823,0.165684048996209,7.23904154191747,0.0323422377539424,4.51027052383692,0.0646534340750046,6.67749452099212,0.254791579541997,0.000188776445440049,0.137505579922965,2.45811258499336e-09,13.1132693923653,-114.570953369,50.948928833,n.a.
"48",1031,best_aic,1.30811044493848,-0.00217882961628446,-0.00217882961628446,0.31151109669889,2,0,0.0674849984769343,5.38898876133421,0.124512192447023,5.39522602190378,0.001796798988511,5.4588026357278,0.00254465239228135,7.33889617772492,0.260823028452632,0.000282024750807499,17.2039244028269,0.000131734022351637,0.114024742518802,-114.169723511,50.9268798828,n.a.
"49",1031,best_bic,1.28863545587005,-0.0139274419696617,-0.0139274419696617,0.324502911976357,2,0,0.0459415935055641,5.94071583134502,0.109798760442364,6.12320973867911,0.00281220649811413,5.03990865516106,0.00598506921363016,6.15245737311422,0.273802190959282,0.0606221977833111,0.0155221111013636,0.00784209868139023,10.0452985564103,-114.169723511,50.9268798828,n.a.
"50",1031,best_rmse,1.33383416296621,0.0947729281270518,0.0947729281270518,0.304736397874013,2,0,0.0493441747981988,5.92133276199163,0.0741099364317255,15.0625319116058,0.00547767567159164,9.43912363331958,0.009835540877923,8.46572712946401,0.252105848009142,0.00274537443065055,18.7774013967583,0.00071010869885202,0.183394672510795,-114.169723511,50.9268798828,n.a.
"51",1032,best_aic,3.24872529291608,-0.869661609170437,-0.869661609170437,-0.135338134741105,2,0,0.0512011379850882,3.05293311045283,0.0745967057704892,2.39601346466524,0.00983951459876781,2.07488249532553,0.0125384071332231,2.8325446398999,0.022101620848796,0.28267332443963,0.0889164985767321,0.00134124024301507,7.47199061269782,-114.326843262,50.885471344,n.a.
"52",1032,best_bic,3.419275130562,-0.760037866934049,-0.760037866934049,-0.0989009195912851,2,0,0.129959029874235,3.00778519155288,0.151178706385619,2.83674417665144,0.0207227036246712,2.17970368222069,0.0293433169590483,2.90411557525656,0.104972090698187,0.0413135993461438,1.60795853448068,0.000776976454838934,0.101096220693682,-114.326843262,50.885471344,n.a.
"53",1032,best_rmse,3.35902534683178,-0.678499333163959,-0.678499333163959,-0.0866804261262525,2,0,0.084774818889901,3.69157712884776,0.105043873300095,3.70381459888271,0.0208771056344153,2.7821330620857,0.0443199975748576,4.33148016559184,0.136268708422665,0.0788804298761761,11.2078083879998,0.0572954482569396,0.0590881668962202,-114.326843262,50.885471344,n.a.
"54",1034,best_aic,2.40388864666442,-0.222233305462821,-0.222233305462821,0.132699851227142,2,0,0.0857380300797833,4.48626748272397,0.110535329090704,9.97581557594205,0.0152117170221539,5.8582233007624,0.0236878905937064,10.2840375055513,0.258427466422466,0.215163947279537,0.0194299990082492,0.0475583750080317,5.63692100369996,-114.278739929,50.7711296082,n.a.
"55",1034,best_bic,2.35443691582128,-0.253517910623278,-0.253517910623278,0.135598073802292,2,0,0.0658522160985133,3.69696982318807,0.0798795067351216,9.87890706393143,0.0136384771504888,7.10449046518131,0.0372511088113875,9.99822975572953,0.207757235731715,0.00162509544777357,5.80104287090164,0.00115599547975701,0.0742752687077018,-114.278739929,50.7711296082,n.a.
