"","catchment_no","criteria","n_windows","sd_windows","nrmse","r2","nse","kge","longitude","latitude","region"
"1852","1751","best_rmse","2","0.489897948556636","2.20812943010141","0.355064086987999","0.355064086987999","0.387992826984573","-81.90649","30.1133","NA"
"1853","1752","best_aic","3","0.408248290463863","1.60681753655638","0.397593047092218","0.397593047092218","0.325731988458266","-81.79647","27.37504","NA"
"1854","1752","best_bic","3","0.506622805119022","1.65794855357367","0.398138182322302","0.398138182322302","0.330456504832919","-81.79647","27.37504","NA"
"1855","1752","best_rmse","3","0.408248290463863","1.59219519448192","0.39803047440887","0.39803047440887","0.327416064121268","-81.79647","27.37504","NA"
"1856","1753","best_aic","3","0.408248290463863","1.51054891794024","0.412675252117889","0.412675252117889","0.451306888350911","-82.02342","27.48726","NA"
"1857","1753","best_bic","2","0.276887462097269","1.48298192048499","0.410289204773018","0.410289204773018","0.466510273702872","-82.02342","27.48726","NA"
"1858","1753","best_rmse","3","0.276887462097269","1.47026960554814","0.418035509434324","0.418035509434324","0.459195703772263","-82.02342","27.48726","NA"
"1859","1754","best_aic","3","0","1.67297473865122","0.351067328620652","0.351067328620652","0.316263976480814","-81.98842","27.19949","NA"
"1860","1754","best_bic","3","0.476095228569523","1.6757808455032","0.352167695991628","0.352167695991628","0.322330260654352","-81.98842","27.19949","NA"
"1861","1754","best_rmse","3","0.2","1.69539194720306","0.36150703777033","0.36150703777033","0.323038074871249","-81.98842","27.19949","NA"
"1862","1755","best_aic","3","0.5","1.25975985112718","0.487745712399226","0.487745712399226","0.429288011739807","-81.78453","27.052","NA"
"1863","1755","best_bic","2","0.476095228569523","1.24218683799714","0.497613705774005","0.497613705774005","0.44392634619567","-81.78453","27.052","NA"
"1864","1755","best_rmse","3","0.374165738677394","1.29479249815301","0.478578644239632","0.478578644239632","0.413920920316564","-81.78453","27.052","NA"
"1865","1756","best_aic","3","0.276887462097269","1.55215683632622","0.463819987056673","0.463819987056673","0.420457020122039","-82.15676","27.34366","NA"
"1866","1756","best_bic","3","0.458257569495584","1.59382515175896","0.44531891735583","0.44531891735583","0.396830910752561","-82.15676","27.34366","NA"
"1867","1756","best_rmse","3","0.276887462097269","1.57395727276694","0.454355972906112","0.454355972906112","0.413496603418707","-82.15676","27.34366","NA"
"1868","1757","best_aic","3","0.458257569495584","1.81200318220498","0.433554770974933","0.433554770974933","0.443675324324593","-82.2112","27.47365","NA"
"1869","1757","best_bic","2","0.33166247903554","1.84895012266352","0.422959596909764","0.422959596909764","0.428422780224586","-82.2112","27.47365","NA"
"1870","1757","best_rmse","3","0.33166247903554","1.79045825879197","0.443960978649968","0.443960978649968","0.455842962715756","-82.2112","27.47365","NA"
"1871","1758","best_aic","3","0.458257569495584","1.79763313882986","0.445837381759682","0.445837381759682","0.470545074099997","-82.35204","27.79197","NA"
"1872","1758","best_bic","2","0.435889894354067","1.80350182477766","0.454362254210052","0.454362254210052","0.5013847515939","-82.35204","27.79197","NA"
"1873","1758","best_rmse","3","0.374165738677394","1.77262261648784","0.456144617292897","0.456144617292897","0.493366814376558","-82.35204","27.79197","NA"
"1874","1759","best_aic","3","0.33166247903554","1.47914418701931","0.346590319423587","0.346590319423587","0.298587489939778","-82.05591","28.31195","NA"
"1875","1759","best_bic","3","0.489897948556636","1.53521896240289","0.33206239021797","0.33206239021797","0.280157746953702","-82.05591","28.31195","NA"
"1876","1759","best_rmse","3","0","1.50831477363935","0.33496234573436","0.33496234573436","0.284518417835965","-82.05591","28.31195","NA"
