"","catchment_no","n_bad_runs","mean_kge","median_kge","AR_order","my_kge","country"
"1723","416",0,0.997853511607839,0.997871400841382,2,0.366054173623991,"CA"
"1724","417",0,0.969515722323266,0.969341922021829,2,-0.190642568371645,"CA"
"1725","418",0,0.970819267766177,0.970694364758784,2,0.0254108715707057,"CA"
"1726","42",0,0.996639244202314,0.996645753298463,3,0.186747693958458,"CA"
"1727","420",0,0.986805974808488,0.98699214225284,2,-0.10852161516151,"CA"
"1728","422",0,0.983182123954297,0.983170043163949,2,-0.351229193303176,"CA"
"1729","426",0,0.964551108543995,0.964373976399305,2,-0.0705005504296068,"CA"
"1730","428",0,0.990437476842174,0.990399041723576,3,-0.218030508601927,"CA"
"1731","43",0,0.950561426730406,0.948625366282082,1,0.478656826306684,"CA"
"1732","430",0,0.938189265445247,0.937847328445851,2,-0.287356344589535,"CA"
"1733","432",0,0.991349389719443,0.991483762908808,2,0.252048262104115,"CA"
"1734","435",1,0.99092912588432,0.99092912588432,2,0.0688257207294993,"CA"
"1735","436",0,0.998820409998295,0.998821532228249,3,0.164237853251787,"CA"
"1736","438",0,0.988613045006231,0.988013521802367,2,0.210422424523325,"CA"
"1737","441",0,0.960449684312571,0.960550278091031,3,-0.0248878288109089,"CA"
"1738","442",3,NA,NA,2,0.0124979717793626,"CA"
"1739","446",0,0.998382716391147,0.998490352552126,2,0.44481151333762,"CA"
"1740","447",1,0.946438670414322,0.946438670414322,2,NA,"CA"
"1741","448",0,0.987416236491903,0.986855707163066,3,0.177936308496262,"CA"
"1742","449",0,0.998743793773547,0.998740882498351,2,0.309270430870039,"CA"
"1743","452",0,0.996061655587201,0.996065285013911,2,0.455723641253294,"CA"
"1744","454",0,0.874998114536326,0.874788316375731,2,0.256494439884559,"CA"
"1745","455",0,0.947396635965708,0.947341725158918,3,0.301329998854337,"CA"
"1746","457",0,0.989968727215611,0.988699022467966,2,0.244112066664049,"CA"
"1747","458",0,0.940733892199587,0.941138574084779,1,0.499328750236512,"CA"
"1748","459",0,0.994641679893133,0.994335302064704,2,-0.0877479930649674,"CA"
"1749","46",0,0.979241082644176,0.977186831950067,2,0.0336309678493856,"CA"
"1750","460",0,0.990347868731087,0.990131952450098,2,-0.137434340450678,"CA"
"1751","461",0,0.99774272601519,0.997754605795196,3,-0.116677434576369,"CA"
"1752","462",0,0.965195629141473,0.960567966530754,2,-0.0899621731372251,"CA"
"1753","463",0,0.99802597804646,0.998043311573101,2,0.414534835036195,"CA"
"1754","465",0,0.99266006193447,0.992815702915393,3,0.314901604649304,"CA"
"1755","466",0,0.9526658530726,0.95060973425165,2,-0.092045440361751,"CA"
"1756","469",0,0.99574396596,0.995819242013659,3,-0.222419517321366,"CA"
"1757","470",0,0.994643058414271,0.99463545776721,2,-0.224937420123972,"CA"
"1758","471",3,NA,NA,2,NA,"CA"
"1759","472",0,0.981405379689035,0.982861283197631,2,0.00756950447719829,"CA"
"1760","473",0,0.996432984593146,0.996320462839155,3,0.0648308518966795,"CA"
"1761","474",0,0.948513937641421,0.946535726171619,2,-0.115287910156546,"CA"
"1762","475",0,0.976065570814894,0.976611148161043,3,0.0298046098897534,"CA"
"1763","476",0,0.939329872733058,0.934519498432157,2,0.118077972771222,"CA"
"1764","477",0,0.997696919486464,0.997802279159763,2,0.0183224480844341,"CA"
"1765","48",0,0.964094776284991,0.96454636586542,3,0.046304705122641,"CA"
"1766","480",0,0.996407854026647,0.99626695104912,3,0.191383287779811,"CA"
