gridcode,country,longitude,latitude,station_name,station_id,area_km2
209,CA,-53.6739387512,48.3806686401,SOUTHERN BAY RIVER NEAR SOUTHERN BAY,02ZJ001,74.7207423371462
211,CA,-89.8098602295,48.2921104431,WHITEFISH RIVER AT NOLALU,02AB017,192.007822549562
212,CA,-54.85066986,49.01628113,GANDER RIVER AT BIG CHUTE,02YQ001,4360.76807406463
213,CA,-65.73500061,48.23083115,CASCAPEDIA (PETITE RIVIERE) A SAINT-EGAR,01BG008,1346.63095134029
214,CA,-55.4828109741,48.1687507629,CONNE RIVER AT OUTLET OF CONNE RIVER POND,02ZE004,90.7136307459214
215,CA,-65.55860901,48.18611145,BONAVENTURE (RIVIERE) EN AMONT DU RUISSEAU CREUX,01BG009,1918.68747435535
216,CA,-66.34944153,48.15721893,NOUVELLE (RIVIERE) AU PONT,01BF001,1138.35358120182
217,CA,-54.0496406555,48.2201690674,SHOAL HARBOUR RIVER NEAR CLARENVILLE,02ZJ003,98.3666633570163
218,CA,-54.2004203796,48.3969993591,NORTHWEST RIVER AT TERRA NOVA NATIONAL PARK,02YS006,640.278203511067
219,CA,-54.01525116,48.66275024,TERRA NOVA RIVER AT GLOVERTOWN,02YS005,2047.81720815749
222,CA,-57.83,48.24,LLOYDS RIVER BELOW KING GEORGE IV LAKE,02YN002,464.508734296835
224,CA,-83.2666702271,49.6139183044,MISSINAIBI RIVER AT MATTICE,04LJ001,9936.88675116007
226,CA,-54.28432846,47.94667053,PIPERS HOLE RIVER AT MOTHERS BROOK,02ZH001,748.536709514944
227,CA,-53.9486694336,47.9187507629,COME BY CHANCE RIVER NEAR GOOBIES,02ZH002,45.2009693303451
229,CA,-66.4906082153,47.9878883362,EEL RIVER NEAR DUNDEE,01BJ012,44.4479554302253
230,CA,-68.5561065674,48.4133300781,"RIMOUSKI (RIVIERE) A 3,7 KM EN AMONT DU PONT-ROUTE 132",02QA002,1609.08320034539
235,CA,-79.8793106079,47.8891410828,BLANCHE RIVER ABOVE ENGLEHART,02JC008,1787.32173309869
237,CA,-55.44021988,47.74682999,BAY DU NORD RIVER AT BIG FALLS,02ZF001,1186.84995148303
238,CA,-72.7366714478,47.7672195435,"CROCHE (RIVIERE) A 2,6 KM EN AVAL DU RUISSEAU CHANGY",02NE011,1572.10929597206
239,CA,-71.38,47.94,PIKAUBA (RIVIERE) EN AMONT DE LA RIVIERE APICA,02RH027,489.296061653941
240,CA,-66.02522278,47.89381027,JACQUET RIVER NEAR DURHAM CENTRE,01BJ003,501.270570531938
241,CA,-71.64527893,48.18222046,ECORCES (RIVIERE AUX) EN AMONT DU PONT-ROUTE 169,02RH035,1110.9896352468
243,CA,-65.1553878784,47.7056083679,RIVIERE CARAQUET AT BURNSVILLE,01BL002,188.137524565391
246,CA,-52.7484703064,47.564250946,LEARYS BROOK AT PRINCE PHILIP DRIVE,02ZM020,19.2619171121318
247,CA,-53.3080787659,47.5830612183,SHEARSTOWN BROOK AT SHEARSTOWN,02ZL004,30.0631485801991
248,CA,-65.7218093872,47.6083908081,MIDDLE RIVER NEAR BATHURST,01BJ010,220.045959437205
249,CA,-68.3568267822,47.4578285217,IROQUOIS RIVER AT MOULIN MORNEAULT,01AF009,183.745295250778
250,CA,-54.8530311584,47.4500312805,RATTLE BROOK NEAR BOAT HARBOUR,02ZG004,40.6423905245508
251,CA,-66.88707733,47.83246994,UPSALQUITCH RIVER AT UPSALQUITCH,01BE001,2266.56733957427
252,CA,-91.6511688232,48.0825614929,BASSWOOD RIVER NEAR WINTON,05PA012,3649.68066425087
253,CA,-71.99360657,48.375,METABETCHOUANE (RIVIERE) EN AMONT DE LA CENTRALE S.R.P.C.,02RG005,2216.56982522635
255,CA,-67.483078,47.66707993,RESTIGOUCHE RIVER BELOW KEDGWICK RIVER,01BC001,3175.38468820429
256,CA,-53.1172218323,47.3546714783,SOUTH RIVER NEAR HOLYROOD,02ZM016,17.4901647100502
257,CA,-53.8387184143,47.2739715576,NORTHEAST RIVER NEAR PLACENTIA,02ZK002,93.7486210844022
259,CA,-53.568611145,47.2271118164,ROCKY RIVER NEAR COLINET,02ZK001,296.81798038835
260,CA,-67.92,47.25,GRANDE RIVIERE AT VIOLETTE BRIDGE,01AF007,323.559765466508
261,CA,-68.9569396973,47.2066116333,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,01AD003,1343.75962805749
262,CA,-54.0389213562,47.1813087463,LITTLE BARACHOIS RIVER NEAR PLACENTIA,02ZK003,37.7379176301254
263,CA,-65.83650208,47.09474945,NORTHWEST MIRAMICHI RIVER AT TROUT BROOK,01BQ001,1027.1626885283
264,CA,-53.7317810059,47.1218299866,LITTLE SALMONIER RIVER NEAR NORTH HARBOUR,02ZK004,107.623664343712
265,CA,-75.7536087,47.08361053,GATINEAU (RIVIERE) AUX RAPIDES CEIZUR,02LG005,7018.55953225414
